portugues,tupi_antigo
"estorvo do anzol, isto é, corda com que se reata este",pindá-aŷpypûasaba
"Como ele, também, curaste os doentes",Supi bé eremombûeîrá mara'abora
Querendo que eles se afastem de Deus,Tupã suí i îepe'a-potá
Cortei-lhe a garganta,Aîaseó-mondok
Todos os seus discípulos para tuas mãos fazendo passar,Opá o boîá nde pópe i mongûapa
O que supõe saber as coisas,I mba'e-kuá-mo'anga'uba'e
É medianamente grande,Turusu-nhota'ubĩ
"Não desisto (teimo, sou importuno)",Na xe apori
Não ia para o céu outrora a alma de ninguém?,Abá 'angûera amõ soe'ymi ybakype erimba'e?
"Honra a gente também outros dias, neles não trabalhando","Oîmoeté bé asé amõ amõ 'ara, i pupé oporabykye'yma"
Será que é por isso que Deus transformou a costela de nosso pai primeiro no corpo de sua esposa?,Emonãnamo serã Tupã îandé rubypy arukangûera nhẽ monhangi semirekó retéramo?
"Tu te agitaste, querendo fazer-nos viver","Nde ereîemosusuni, oré moingobé-potá"
"A mim é como que pedra (isto é, parece pedra)",Itá berame'ĩ ixébo
"Eis que minha condição, na verdade, é assim",Xe rekó anhẽ nhẽ nakó emonã
"Eu estou febril, eu tenho febre",Xe rakub
certamente! sem dúvida! assim é! tem razão! é verdade! (certificando o que outra pessoa disse),anhẽ rakó!
Eu estou com dúvida,Xe akasang
Que queres?,Ma'epe ereîpotar?
"metal vivo, isto é, o mercúrio",itá-ekobé
"Enchendo o mar, levantando-o bem acima do cume das montanhas","Paranã momungábo, ybytyra apyra sosé katu i mopu'ama"
"E pois, como há de ser?",marã-tepene?
"Nessa igreja Maria cresceu e, após a maturidade dela, Deus entregou-a a São José","Kó tupãoka pupé Maria kakuabi, i aûîé ré é Tupã i me'engi São José pé"
Não pode com ela casar-se enquanto a mantiver em esconderijo,Nd'e'ikatuî sesé omendá mimbápe serekó pukuî
Lançando palavras contra a lei de Deus,Tupã rekó koty nhe'enga reîtyka
o que está vestido,iî aoba'e
"instrumento de enxotar moscas, abano de moscas",mberu mondoaba
"Que disseram os judeus, acusando-o?","Marã e'ipe îudeus i xupé, i mombegûabo?"
Tomei-o às costas,Aîar xe aseî
Eh! Onde ele está?,Tó! Mamõpe ahẽ rekóû?
Quatro são as virtudes cardeais,Quatro tekokatu-ytá
"o próprio Pedro, Pedro mesmo",Pedro aé
Eu tinha-me esquecido por causa da muita aflição,Xe resaraî tekotebẽ-eté suí!
"Após entrarem em colapso o sol, a lua, a terra, o mar, então os anjos vêm","Kûarasy, îasy, yby, paranã rekomemûã roiré a'ereme karaibebé ruri"
"Vim, atravessando o oceano",Paranãgûasu rasapa aîu
O que me guarda é o habitante do céu,Xe rarõana ybakygûara
"No mesmo dia em que a comeres, cairá a morte em ti",Ara nde i gûaba pupé bé o'a te'õ nde reséne
"Assim como a nós, Deus vê as minúcias de todas as coisas","Îandé îá, Tupã opakatu mba'e rasapy-epîaki"
Moro de parede-meia,Apyri aîkó
"No seu jardim formoso chamado ""Paraíso Terreal""",O emitymaysó Paraíso Terreal seryba'epe
Aguço-a,Asapûapin
Reformei seus atos,Asekó-nongatu
Três são as potências de nossa alma a respeito das coisas,Mosapyr ma'e resé asé 'anga 'ekatuaba
"tempo, lugar, modo, etc de aparar, de rapar, etc",pindaba
"Portanto, prendo-te!",Irõ oropokosub!
Nós nos misturamos,Oroîese'ar
Que estejam atacando gente,T'oporepenhã oîkóbo
Eu sou ligeiro de mãos,Xe popy'i
Quando cumprirás isso que tu dizes?,Erimba'epe aîpó nde 'îaba ereîmopóne?
Eu tenho bafio,Xe rygynõ
O dia está muito escuro (como que para chover),I pytũ-pytun 'ara
"Deu-me pancada de ponta, somente (isto é, sem me furar)",Xe sok îõte
Eis que vou,Asó ikó
Meu corpo treme (de medo),Xe reté-piring
Com seus irmãos não pode ninguém se casar,O asykûera resé nd'e'ikatuî abá omendá
"Ah, bem parece!",Îasûareté mã!
com tua realeza temível,nde reîabaîté pupé
Eu sou o grande tupinambá,Xe tupinambagûasu
cabeça (arrancada) de peixe,pirá akangûera
E os rapazes que perseguem mulheres?,A'epe kunumĩgûasu kunhã oîmomosemba'e?
O que foge com uma mulher não pode casar-se com ela,Kunhã reroîabapara nd'e'ikatuî sesé omendá
Louvo-te muito por me teres salvado,Oromoeté-katu nde xe pysyrõagûera resé
Eu me escafedo ao ir,- Xe rembyrĩ gûixóbo
"Se alguém escondesse os atos passados uma só vez, Deus não perdoaria","Oîkuakumo amõ abá tekopûera oîepé'ĩ nhõmo, Tupana n'i nhyrõî xómo"
Asperge-se com água benta,Oîeypyî 'y-karaíba pupé
Ele está um pouco melhor,I katu be'ĩ
Sobre a cruz pregando meu senhor,Krusá sosé nhẽ xe îara moîá
"daí, desse lugar (que tu dizes)",aîpó suí
Porventura eu não disse isso tudo?,Aîpó nd'a'eî pá ky?
"Para cá vem, trazendo farpas junto com o arco","Ké turi, arupare'aka îurupara ndi seru"
"São famosos esses moçacaras, que esgotam verdadeiramente o cauim","Serapûan kó mosakara, kaûĩ mboapŷareté"
Reprimir o desejo de coisas más,Mba'e-aí-potara renonhena
O que se preocupa com Deus,Tupã resé o nheangerekosara
argola de ferro,itá-apynha
Hoje eu deveria ir,Kori temone asómo
Tu foste torpe com alguma irmã de tua esposa ou com sua parente próxima?,Nde poxype nde remirekó asykûereté amõ resé koîpó i mũ-mbyryba?
Eis que eu faço as pessoas estarem sempre na bebedeira,Ixé kó ka'u resé aporomoingó îepi
querendo fazer-nos preparar,îandé monhemosako'i-potá
Sob a areia branca,Ybyku'i-tinga gûyri
Tanto um como o outro importunavam Santa Maria ao longo dos dias,Oîoîabenhẽ 'ara rupi Santa Maria moaîuû
"Confesso a ti, senhor padre","Anhemombe'u ndebe, pa'i abaré"
"Não tem limite, não tem fim","N'i sykabi, n'i papabi"
Suportando as coisas dolorosas por causa de Deus,Mba'e-asy porarábo Tupana resé
"Tu, em teus braços ergueste Jesus","Endé, nde îybápe Îesu eresupi"
a que amamenta,mokambûara
"Semelhante a que é essa graça, o meio de fazê-los bons?",Mba'e nungarape aîpó graça i moangaturãsaba?
Eu sou maior que tu,Ixé nde sosé
A armadilha caiu (apanhando caça),O'ar mundé
O oposto do comer demais é comer somente o suficiente,Mba'e 'u-eté-eté robaîara oîá nhote mba'e 'u
"então, nesse tempo",a'e remengatutenhẽ
e portanto,emonãnamo é
"Enfeitaste-te, tendo desejo sensual?",Erenhemoatyrõpe nde poropotaramo?
Eu tenho estatura elevada,Xe îeysá-puku
Conheceu sua autêntica bondade,Oîkuab i marangatueté
Eu sou rugoso,Xe akaraxixã
Alimentando-o um pouco em teu seio,I poîa-mirĩ nde kama pupé
Que te regozijes muito com a virtude,T'ereîekosubeté tekoporanga resé
Faze perdoar a nós,Emoîerekûab orébo
E também as esposas de seus filhos,Ta'y-taty abé
"Mandando-o ir, sem problemas, não ages como o que estima teu imperador César",I mondóbo nhẽ nd'ereîkóî César nde rubixaba raûsuparamo
Fazemos passar as flechas dos malditos,Îamongûá moxy ru'uba
Arrependendo-se ele de ter batido em ti,Nde resé i pûaragûera moasŷabo
"há bem pouco tempo, agora há pouco, agorinha mesmo","kûesé-té'ĩ, kûesé-té'ĩ-mbyryb, kûesé-té'ĩbé, kûesé-bé'ĩ, kûesé-pyryb"
Tu não me detestas,Na xe reroŷrõî îepé
"os que foram seus companheiros, seus ex-companheiros",irũmbûera
Sei lá!,Sé ruã!
riacho,yekûabusu
Já agora deve ter vindo,Our ipó ko'yté
Cortei a fila deles,Asysy-mondok
A ele a gente pede pelo futuro viver de sua alma?,I xupépe asé îeruréû o 'anga rekorama resé?
Os reis apressados junto ao nenenzinho vieram,Reîá-anhẽ pitangĩ supé oú
Arranco o amargor do sal,Aîukyrakok
Não se cansam de pedir a Deus pelos que os resgataram,N'oîeruré-pytubari Tupã supé ogûenosemarûera resé
Aquele que entrava na igreja,Akó oîké rakó Tupãokype
Ajudaste alguém num roubo?,Ereîpytybõpe abá mondá resé?
"Eis que, enfim, chega meu pai",Rumby xe ruba obasema
Por ter ele esperança nela e em Deus,Sesé Tupã resé bé o îerobîasápe
"suas pajelanças, sua antiga crença nos pajés","i nhemopaîeagûera, i paîé rerobîaragûera"
"Oh, por acaso isto é o diabo?!","Îu, anhangap'ikó ri?!"
"miolo, tutano de osso",kanga putu'uma
Os que sofrem algo pela justiça,Tekokatu resé mba'e porarasara
Faço sua futura casa,Aîmonhang sokûama
Eu sou travessa,Xe resaarũaíb
Mata (ou matam),Oîuká
Desceu para o centro da terra,Ogûeîyb yby apyterype
"Tu te compadeceste deles quando eles estavam doentes, tirando-lhes fogo?","Eresaûsubarype i mba'easyreme, satá-á"
Eu tenho diarréia com sangue,Xe reîkûarugûy
Emendou também aquelas suas palavras?,Oîmoîoapyr-y bépe aîpó o nhe'enga?
"pele esfolada, fora da carne",pirûera
Nossa alma visitas,Asé 'anga ereîosub
"Eu sou Guaixará, bebedor de cauim, grande boicininga","Gûaîxará kagûara ixé, mboîtiningusu"
"São Pedro puxou a espada, cortando sua orelha",S Pedro itangapema osekyî i nambi mondoka
"Vem para me fazer regozijar, dando tua boa lei","Îori xe moîekosupa, nde rekokatu me'enga"
Ela requeima,Taî
"Confessam seus pecadilhos somente Os que são muito grandes deixam-nos, escondendo-os do padre","Oîmombe'u o angaîpá-mirĩ anhõ Tubixabeté oseîá, abaré suí i mima"
Vingo-me deles,Aîeepyk anhẽ sesé
Ide depressa!,Pekûá esapy'a!
Oxalá ela estivesse sem roupa!,Ikatupe nhẽ temõ mã!
Guardei todos os jejuns,Aîá pá îekuakuba
"O que alguém acolhe no seu paganismo, no paganismo dele está igualmente?",Og ere'yma pupé abá remipysyrõ oîabé sere'ỹme?
Não é que o maldito veio voando?,Ké muru ruri obébo?
Fiz que não o vi,N'asendube'ym-a'ubi - Fiz que não o ouvi N'asepîake'ym-a'ubi
enforcador,aîubykara
"Embora me evoques os atos, daqueles arrependi-me, bem resgatando-os também","Xe rekoekyî îepé, a'epûera aîmoasy, i mboepykatûabo bé"
Estavam dormindo por causa da aflição,Oker okûapa tekotebẽ suí nhẽ
"Pintaste-te a boca, sorrindo para os homens?","Ereîeîuru-mopiningype, abá supé epukamirĩamo?"
buraco das orelhas tapados,apysakûá-îe'o
quando ele diz algo acerca do bem proceder de nossa alma,asé 'anga tekokaturama resé marã i 'ereme
Dorme ao lado de mim,Eké xe porupi
"Estamos nos ferros ao pescoço um do outro (isto é, estamos presos nos ferros um ao pescoço do outro)",Oîoapyri oroîkó itá resé
"coisa quente, quentura",mba'e-akuba
Que sejamos dignos do que Cristo prometeu,T'oré angaturãne Cristo remienõîûera resé
Eu sou modesto,Xe kunusãî
Dou-lhe pancadas na cabeça,Aî'apurupã
Benze a gente sua comida?,Osobasápe asé o emi'urama?
Deixai-os estar deitados,Te'inhẽ oupa
"Conforme seu próprio pedido, na cruz o pregaram","Cruz resé i moîari, i îeruresabo é"
A chuva caiu lentamente,Osaybi amana
"Tomou-o como substituto de Judas, que entregara Deus-Filho",Îudas Tupã Ta'yra me'engarûera rekobîaramo tari
"A terra, todas as nuvens que caem do céu cobri-la-ão",Yby opá ybytinga ybaka suí o'aryba'e i aso'iûne
Deus fez vir um anjo no sonho de São José para o avisar,Tupã karaibebé mbouri São José mosaûsuba pupé i momorandupa
"o que porta pestes, coisa pestilencial",mbabyîara
Que experimentemos a força dos homens conosco,T'isa'ang apŷaba marã îandé irũ
Como estava orando a seu pai?,Marãpe seni og uba mongetábo?
Tomando o leite de sua mãe,O sy kambûabo oúpa
Muito bem! (consentindo),Aûîé ipó!
"o forte, o bravo",tatã
Encalhei a canoa,Aîmoîar ygara
Por isso mesmo Deus aqueles lançou no fogo,Nd'e'i te'e Tupã a'eba'e reîtyka tatápe
Eu lhe mordo a cabeça,Aî'asu'u
Estou pressionado (isto se diz quando já se está para ir),Gûebirãîari nhote aîkó
Deleitaste-te no teu sonho com ela?,Ereîmborype sesé nde posaûsubagûera?
Por quantas coisas a gente pede?,Mboby mba'e resépe asé îeruréû?
No transcorrer de quatro gerações,Oîoirundyk îeapyká sykápe
Flechou-me em lugar vital,Xe aépe xe ybõû
"E mentindo também aquele que invoca sua alma, que acontece?","O 'anga renõîndara abé o îuraragûaîamo nhẽ, marãpe?"
São numerosos os que não são conhecidos,Se'yî i kuabypyre'yma
É medianamente grande,Turusu-nhota'ub
O que perseguiu o cão de seu próximo,O apixara reîmbaba îagûara remimomosẽgûera
"Fulano está muito atrás de mim (isto é, fica no meu encalço, a importunar-me)",Xe resé-katu ahẽ rekóû
"Hei de comer hoje seus braços, Jaguaruçu, suas coxas","T'a'u kori i îybapûera, Îagûarusu, i ugûera"
Eu não estou doente,Na xe marani
Eu sou (ou estou) doido,Xe 'angaingaíb
Desfaleço de fome,Amanõaíb ambyasy suí
"O cão é ávido (isto é, bom de caça, quer tudo apanhar)",I mba'epotar îagûara
Temo ficar preso nesta armadilha,Aîpoûsub ikó mundépe xe rena
Aqueles velhos reis fedorentos?,-Akó tubixanẽmbûera?
Eu não,Na ixé ruã
"Ah, ai de mim, o fogo do diabo sofrerei para sempre!","Ixé tekatuete'ĩ ra'u, Anhanga ratá aîporará aûîeramanhẽne mã!"
Quem cumpre aquele (mandamento)?,Abápe aîpoba'e oîmopor?
Livra-nos tu dos que nos querem mal,Oré pysyrõ îepé oré amotare'ymbara suí
Deixei esse cadáver seu,Aseîá kó se'õmbûera
Eles mentem de cara um para o outro,"Semo'ẽ, oîobaúpa"
Não contém mais nada minha bolsa,N'i pori be'ĩ xe aîó
Estão queimando para sempre como pena de dizerem isso somente em suas bocas,Okaî oupa aûîeramanhẽ o îurupe nhote aîpó o 'eagûera repyramo
Ficando a tomar poções para não se gerar uma criança,Pitanga nhemonhanga suí oîeposanõ-sanonga
"Querendo que ele entre para junto de vós mesmos, lançai fora vossas maldades","Pe îoupé seîké potá, peîtyk pe angaîpaba"
Por causa da estrela sua guardiã,Îasytatá serekoarama resé
"Maria, mulher bondosa, engravidando, conforme dizem, o vício amaldiçoa","Maria, kunhãngatu, o puru'aramo, ra'e, tekopoxy oîmomburu"
"Leva-o, olha lá!",Erasó ké raré
palmito de juçara,îeîsaru'ã
"Cuidado, cuidado, menino, para que não te castigue o homem branco","Taté, taté, kunumĩ, na nde nupãî karaíba"
"O que não honra a Deus, seu verdadeiro criador",Tupã o monhangareté moetesare'yma
Ficando a aumentar teu temor também,Nde nheangûaba bé irumõ-rumõmo
Receio levá-lo,Arasó-poûsub
"Levaram-no para um certo palácio, fazendo-o entrar consigo",Ogûerasó amõ okusupe seroîkŷabo
Sobram-me sauiás,Xe resemõ saûîá
Todos os homens destrói,Opabĩ abá mondyki
Invejar as coisas boas de alguém,Abá mba'ekatu moasy
Abrimos caminho,Oroîepeká
licor de aipim,aîpi 'y
Como um galo te deitas,deitar-se - Gûyrá-sapukaîa îabé ereîetu'u
"E o que, torpemente, tem relações sexuais com sua parenta verdadeira?",A'epe o mũeté resé oîkopoxyba'e?
Mas não porá a gente a mão na boca para desgrudá-la?,Nd'opo'ẽî xûé-tepe asé o îuru pupé i mbo'iragûama reséne?
"Nas minhas mãos, somente, levei-as",Xe pópe nhote arasó
Eu estou cansado,Xe kane'õ
Fica! Somente quando bebes cauim tu queres ser valente? Palermão! Centopéia!,Epytá! Kagûápe nhõ nde ratãngatu-potá? Manemusu! Ambu'a!
Eu sou pardo,Xe pytang
Estou na medida,Taé a'e
Que a gente honra ao erguer o padre o cálice da missa?,Mba'epe asé oîmoeté abaré itaîukamusi rupireme?
"Flechei todos eles, capturando-os, amarrando-os","Aîybõ mbá, i pysyka, i apytĩamo"
Eu tenho fôlego comprido,Xe pytu-muku
Como modo de fazer voltar em si a virtude,Tekokatu reroîebysabamo
Havemos de ir à árdua guerra?,T'îasó maranatãûãme?
Eu não sou grave nos meus atos,Na xe rekoposyî
Com seu sopro somente dando vida a ele,O pytu pupé nhote tekobé me'enga i xupé
"casa assobradada (lit, casa alta)",okybaté
Compadece-te de minha alma,Eporeaûsubok xe 'anga
"Para esse belo procedimento, a gente a mantém em seu próprio quarto (isto é, a água benta), aí dependurando o recipiente em que a bebe","Aîpó tekoporanga resé asé serekóû o kotype, a'epe i moîasekóbo i gûaburu"
Ensina bem minha alma para que conheça o caminho do céu,Eîmbo'ekatu xe 'anga t'oîkuab ybaka piara
somente um bocado,oîepé îuru nhõ
Escarneceste de mulheres?,Ereîemoîoîaîpe kunhã resé?
Ao estar o sol no meio do mundo,Kûarasy 'ara pyterype seneme
o que é (ou deve ser) enforcado,i îubykypyra
"lugar em que o sol se põe, poente, oeste",kûarasy reîkeaba
"Que suas almas caiam logo, deixando seu criador, apegando-se, pois, a nós","I 'anga t'o'a taûîé, o monhangara reîá, rõ oby'a îandé resé"
Deveria eu por bem ensiná-lo,Aîmbo'e be'ĩmo mã
"Todo o céu preenches, o mar e a terra também","Opá ybaka ereîmopó, paranã, yby abé"
"Comemoramos este dia, lembrando-nos do tempo em que nô-la fizeram alcançar",Sesé îandé moîekosupagûera resé îandé ma'enduaramo kó 'ara îaîmoeté
"Depois disso, o cauim transbordante nas igaçabas atrai-os",Ygasápe kaûĩ-tuîa a'e ré îamomotá
a que tem nome Santa Maria,Santa Maria seryba'e
Afirmamos que isso é o que deve ser festejado,Îaîmombe'u aîpó i momorangymbyra
"o amarelo do ovo, isto é, a gema",tupi'a-îuba
Eu tenho muito preço,Xe repy-etá
"Vem, ó meu senhorzinho, para que esteja muito feliz minha alma por causa do teu nascimento","Eîori, xe îarĩ gûé, ta sorybeté xe 'anga nde 'aragûera resé"
coleira de ferro para prender pessoas,itá-îurutá
Eu estou com dúvida,Xe 'angetaetá
Perdoa também Deus a nós?,I nhyrõ bépe Tupã asébe?
Hei de ser bom,"""Xe katupe ká"""
Enfrentamo-nos,Oroîobaîar
Que lancemos fora nossa maldade,T'oroîtyk oré poxy
Sei lá!,-Abá ra'yrape ûĩ?! -Sé! -Filhos de quem eram esses?!
Eu estou descoroçoado,Xe akangûyr
"Eia, levemos adiante deles esta muçurana","Ene'ĩ, t'îarasó senondé kó musurana"
Estavam felizes ao ver-me,Sory-katu xe repîaka
todos os que estão nas ilhas,opá 'ypa'ũmendûara
Que está deitado aqui?,Mba'epe ké tuî?
Meu senhor é que me mandou fazê-lo,Xe îara é xe pûaî sesé
Mentiras levantam,Mo'ema kó omopu'ã
calos já duros,mbyru'apûera
"Dentro dele está Jesus Cristo, em todo o seu ser e em seu espírito","I pupé Îesu Cristo rekóû, o ekó îakatu tenhẽ i 'anga abé"
Estou à parte,Aindé
Inclina-se a gente sempre quando diz Jesus?,Oîerokype asé Jesus 'ereme?
Este santo faz aquele que roga a ele alcançar suas coisas sumidas,Kó santo o mongetasara oîmoîekosub i mba'e i kanhembyra
Deixei ontem minha casa,Aseîá kûesé xe roka
Ai! Não há absolutamente servos meus,Akaîgûá! N'i tyb-angáî xe boîá
Esmigalhei-o,Aîkumirik
Foi agora de primeira vez,Aramõ
Que ele fique dentro de vós como fica com seu estado de feto no ventre de sua mãe,"O sy rygépe o pitanga reropytá îabé, t'opytá pe pupé"
Alarguei meus passos,Aîmoatã xe rapupa'ũ
Sempre atam as mãos dos diabos,Memẽ anhanga popûari
"antigamente, após a criação do mundo",raka'e 'ara nhemonhang'iré
